,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
0,Hyderabad,1. Deccan Pavilion,5.0 of 5 bubbles,953 reviews,"Indian, Asian"
1,Hyderabad,2. Dum Pukht Begum's,5.0 of 5 bubbles,478 reviews,Indian
2,Hyderabad,3. Yi Jing,5.0 of 5 bubbles,416 reviews,"Chinese, Asian"
3,Hyderabad,4. Ottimo Cucina Italiana,5.0 of 5 bubbles,384 reviews,"Italian, Pizza"
4,Hyderabad,5. Golconda Pavilion,5.0 of 5 bubbles,681 reviews,"Chinese, American"
5,Hyderabad,6. Bidri,5.0 of 5 bubbles,302 reviews,Indian
6,Hyderabad,7. Feast,5.0 of 5 bubbles,316 reviews,"Indian, Contemporary"
7,Hyderabad,8. Altitude - Lounge & Bar,5.0 of 5 bubbles,249 reviews,"Italian, Indian"
8,Hyderabad,9. Kanak,5.0 of 5 bubbles,177 reviews,Indian
9,Hyderabad,10. Zega,5.0 of 5 bubbles,479 reviews,"Chinese, Japanese"
10,Hyderabad,11. Indus - Coffee Shop & Multi-Cuisine Restaurant,5.0 of 5 bubbles,141 reviews,"Chinese, Contemporary"
11,Hyderabad,12. Okra,5.0 of 5 bubbles,752 reviews,"Indian, Asian"
12,Hyderabad,13. Saffron Soul,5.0 of 5 bubbles,162 reviews,Indian
13,Hyderabad,14. Kebabs & Kurries,5.0 of 5 bubbles,996 reviews,Indian
14,Hyderabad,15. MoMo Cafe,5.0 of 5 bubbles,731 reviews,"Bar, Cafe"
15,Hyderabad,16. Dakshin,5.0 of 5 bubbles,886 reviews,Indian
16,Hyderabad,17. Prego,4.5 of 5 bubbles,347 reviews,"Italian, Pizza"
17,Hyderabad,18. Jewel of Nizam – The Minar,4.5 of 5 bubbles,503 reviews,"Indian, Asian"
18,Hyderabad,19. Seasonal Tastes,4.5 of 5 bubbles,317 reviews,"Indian, Asian"
19,Hyderabad,20. Amara,4.5 of 5 bubbles,167 reviews,"Indian, Asian"
20,Hyderabad,21. Mekong,4.5 of 5 bubbles,199 reviews,"Sushi, Thai"
21,Hyderabad,22. Plaza Premium International Departure Lounge,4.5 of 5 bubbles,328 reviews,"Indian, Bar"
22,Hyderabad,23. Mazzo,5.0 of 5 bubbles,82 reviews,"Italian, Indian"
23,Hyderabad,24. Food Exchange,4.5 of 5 bubbles,226 reviews,"Indian, International"
24,Hyderabad,25. Absolute Barbecue,4.5 of 5 bubbles,720 reviews,"Indian, Barbecue"
25,Hyderabad,26. Mix,4.5 of 5 bubbles,147 reviews,"Indian, Bar"
26,Hyderabad,27. Barbeque Nation,4.5 of 5 bubbles,859 reviews,"Indian, Barbecue"
27,Hyderabad,28. Bawarchi,4.5 of 5 bubbles,920 reviews,"Indian, Asian"
28,Hyderabad,29. Thai Pavillion at Hotel Vivanta by Taj,4.5 of 5 bubbles,157 reviews,"Asian, Thai"
29,Hyderabad,30. Jewel Of Nizam,4.5 of 5 bubbles,252 reviews,Indian
30,Patna,1. Bansi Vihar,4.0 of 5 bubbles,165 reviews,"Indian, Asian"
31,Patna,2. Biryani Mahal,4.0 of 5 bubbles,173 reviews,"Indian, Asian"
32,Patna,3. Dominos,4.0 of 5 bubbles,99 reviews,"Pizza, Fast food"
33,Patna,4. Mainland China,4.5 of 5 bubbles,119 reviews,"Chinese, Asian"
34,Patna,5. 17 Degrees,4.0 of 5 bubbles,118 reviews,"Asian, Indian"
35,Patna,6. Kapil Dev's Elevens,4.0 of 5 bubbles,69 reviews,"Indian, Asian"
36,Patna,7. Cookbook Cafe,4.5 of 5 bubbles,44 reviews,"Chinese, Cafe"
37,Patna,8. Indian Summer Cafe,4.0 of 5 bubbles,53 reviews,"Indian, Cafe"
38,Patna,9. takshila,4.0 of 5 bubbles,45 reviews,"Indian, Asian"
